cluster,row_count,row_count_proportion,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
0,806,0.19788853424993863,287.73754210311324,288.534218406489,290.4285106492584,299.86188369533164,299.93919764691765,290.12867015739494,291.51814430727364,503.2741191490407,503.39499592377786,515.6512844627955,469.446646110335,472.7529666752294,476.0356100886048,465.008386886795,56.90247983870968,13.693425868486353,3214.623458723583,485.1871647668873,399.62662080405295,9.805505794743212,1.6827645087168475,65.26359114122505,2.037889285210788
1,288,0.07070955069972992,228.7662173454835,228.4266790092169,229.35918540242878,299.3716570316468,300.2654861294593,249.745058036279,249.84937141417737,766.1060970535792,761.1853092960871,775.7770161703976,424.6551238499989,443.2373629029023,454.25747336691,435.54545095389705,56.9547265625,13.255632233796296,1883.2611468185771,475.0484005388194,399.9270067914686,9.464893625795717,1.6938510362458696,64.96579083223867,2.464688291699523
2,426,0.10459121041001719,251.42257459845337,251.75228215214952,252.28963306463947,299.6902514196519,300.0169420900418,258.4243518058737,259.7574916017781,618.0943141402663,616.1719004493243,620.1480576306133,416.472268247719,427.5568550337783,443.155329229628,431.18078046729346,54.65816901408451,16.30548904538341,2003.2380979464385,481.21836665561995,399.97106561376177,9.620023592772151,1.6941692262798578,64.7281328793658,2.800124755435471
3,612,0.1502577952369261,298.6177701590054,290.31514665834044,299.1411454405695,299.93336684902647,299.67777326800797,313.9434776350689,307.8999334192458,440.5886219523445,469.31541859836307,447.5878387208295,355.5586526249696,356.17380567104976,362.8552318406142,355.75937131388343,56.92793641067537,13.939110157952069,2834.930366177435,518.349300792093,399.3354020747651,9.773661226668022,1.6840849040252013,64.70997430651978,2.619073168086371
4,481,0.1180947704394795,293.1933123572652,290.1957437852435,293.39463460032033,299.9326903664162,299.70896168424713,312.0399544997201,306.20642622138695,515.92854188683,507.327430458905,550.157384630596,372.7546034426931,371.891878304262,396.226772611652,368.3624068170897,53.88824237699237,18.22117203742204,3008.5185805504752,496.68769275398995,398.7991675501676,9.779422348386468,1.6903233387117733,64.82125400334623,2.446874690924549
5,463,0.11367542352074637,288.72013474247944,275.8580655355497,290.1145139105602,299.88750533668605,299.87475319210625,294.8607189097304,297.1346042316676,599.9894855355477,594.3766102841146,620.3879290752018,498.57975126889636,507.57639515398284,491.2523000151579,488.7332556766486,58.12597102231822,12.63104391648668,2860.7341952174747,436.74520808621224,400.066379776281,9.91404159233329,1.6503627835866184,65.60428275317504,1.8068130620338139
6,337,0.08273999508961453,253.00375280911263,252.98543629328594,252.96958729063937,299.93312153487494,299.9275627243815,298.37838204563354,298.3361061351115,460.1110014925139,454.8246801013122,443.6467337159491,353.1739259711387,354.6068636684245,354.56404535156076,352.5720955202601,58.49672477744807,12.681688921859546,3234.6500361128456,484.13859958092814,400.19074825782513,9.811956784260033,1.6707679897841878,64.70451770128432,2.8947009684363327
7,493,0.12104100171863491,298.52284647018047,298.1846532199295,298.508477382031,299.9200832745091,299.8547096801599,300.6470162545767,300.30641876032985,419.2967126643599,434.37315891807896,424.4183596805511,411.92688832545025,415.8421556850558,413.5087783448263,411.9335167791531,55.63356997971602,15.300469912102772,3165.8574501223898,511.73068060893235,399.73140877008797,9.775769227735804,1.6769310475348802,65.25334891015508,2.096332878965889
8,136,0.033390621163761354,275.1664402488426,275.10441549904687,275.29160973328567,299.786553385084,299.9010421568628,276.1939841503268,277.413816723686,400.7883415602873,406.95370824923555,406.0355524206202,480.68753112915306,481.4948189985022,508.908389990128,507.72061835937495,53.5363419117647,17.64076286764706,3372.5673389135345,502.89054888083047,400.2057490318279,9.926823406529234,1.688756504787071,65.45701718065868,1.9702907309768567
9,31,0.007611097471151486,289.7956382053586,280.69915536719236,291.1981097289052,299.9450120413379,299.72766320977684,286.9524118736051,289.9951089026389,607.8713027488599,399.15089096480443,706.9145879720797,569.9365487658439,575.8607170899597,460.5021601209097,572.6607219326208,55.237338709677424,13.81326612903226,2269.5705080521593,389.1214327704161,400.24972916666667,9.80942364814484,1.6279124322799723,65.05588688224277,1.5393183095858782
