FEATURES,IMPORTANCE
AMINA_FLOW_mean,100.0
ORE_PULP_PH_mean,78.26090225519425
IRON_FEED_PERC_mean,48.090561054126205
ORE_PULP_DENSITY_mean,46.71714649041658
FLOTATION_COLUMN_05_AIR_FLOW_mean,37.9541217110898
FLOTATION_COLUMN_05_LEVEL_mean,34.51839174150817
SILICA_FEED_PERC_mean,30.167007902635973
ORE_PULP_FLOW_mean,14.808634226118414
FLOTATION_COLUMN_03_AIR_FLOW_mean,9.568100573303253
FLOTATION_COLUMN_01_AIR_FLOW_mean,7.754278880807212
STARCH_FLOW_mean,7.035951087935118
FLOTATION_COLUMN_02_AIR_FLOW_mean,6.279823676596711
FLOTATION_COLUMN_06_LEVEL_mean,4.852827754921478
FLOTATION_COLUMN_06_AIR_FLOW_mean,4.105093718061185
FLOTATION_COLUMN_07_LEVEL_mean,3.8404943590326814
FLOTATION_COLUMN_07_AIR_FLOW_mean,3.2702663792497324
FLOTATION_COLUMN_04_LEVEL_mean,2.4865012745177237
FLOTATION_COLUMN_02_LEVEL_mean,2.3479367133526425
FLOTATION_COLUMN_03_LEVEL_mean,2.1795832217869275
FLOTATION_COLUMN_01_LEVEL_mean,1.8625128328970917
FLOTATION_COLUMN_04_AIR_FLOW_mean,0.14783645950008226
