FEATURES,IMPORTANCE
AMINA_FLOW_mean,100.0
ORE_PULP_PH_mean,95.04248749326938
FLOTATION_COLUMN_04_AIR_FLOW_mean,37.446686015754736
FLOTATION_COLUMN_05_AIR_FLOW_mean,36.12861818947133
ORE_PULP_DENSITY_mean,25.184012032305077
FLOTATION_COLUMN_05_LEVEL_mean,24.25865425460206
ORE_PULP_FLOW_mean,19.84509366228352
IRON_FEED_PERC_mean,18.478878263534767
FLOTATION_COLUMN_02_AIR_FLOW_mean,14.299329922332321
FLOTATION_COLUMN_07_LEVEL_mean,13.406976825105302
FLOTATION_COLUMN_07_AIR_FLOW_mean,11.450020456847472
FLOTATION_COLUMN_06_LEVEL_mean,11.292515271444154
FLOTATION_COLUMN_03_LEVEL_mean,11.163471289465495
FLOTATION_COLUMN_02_LEVEL_mean,10.841668667645282
FLOTATION_COLUMN_03_AIR_FLOW_mean,10.240819506167544
FLOTATION_COLUMN_06_AIR_FLOW_mean,10.065265678193017
FLOTATION_COLUMN_01_AIR_FLOW_mean,9.116514427210316
SILICA_FEED_PERC_mean,8.855485597656095
STARCH_FLOW_mean,8.404530837983053
FLOTATION_COLUMN_01_LEVEL_mean,7.574319299679271
FLOTATION_COLUMN_04_LEVEL_mean,3.800265548179354
