FEATURES,IMPORTANCE
AMINA_FLOW_mean,100.0
FLOTATION_COLUMN_01_AIR_FLOW_mean,42.378342731766395
ORE_PULP_DENSITY_mean,40.33367348408567
ORE_PULP_PH_mean,34.46157368900458
SILICA_FEED_PERC_mean,20.77434913723965
FLOTATION_COLUMN_05_LEVEL_mean,18.393646312902014
FLOTATION_COLUMN_03_AIR_FLOW_mean,17.832194616619194
FLOTATION_COLUMN_04_LEVEL_mean,9.464654524281176
ORE_PULP_FLOW_mean,9.079412949727413
STARCH_FLOW_mean,8.270989041407029
FLOTATION_COLUMN_05_AIR_FLOW_mean,7.887047784451527
IRON_FEED_PERC_mean,5.698131441559931
FLOTATION_COLUMN_02_LEVEL_mean,5.3096651242606185
FLOTATION_COLUMN_04_AIR_FLOW_mean,3.143437182339178
FLOTATION_COLUMN_07_AIR_FLOW_mean,2.5455060917704224
FLOTATION_COLUMN_01_LEVEL_mean,2.396037428265817
FLOTATION_COLUMN_06_LEVEL_mean,2.074181835378522
FLOTATION_COLUMN_07_LEVEL_mean,1.9077704143766632
FLOTATION_COLUMN_02_AIR_FLOW_mean,1.6307478411362264
FLOTATION_COLUMN_06_AIR_FLOW_mean,1.0720652586241608
FLOTATION_COLUMN_03_LEVEL_mean,0.8788173964085159
