FEATURES,IMPORTANCE
AMINA_FLOW_mean,100.0
FLOTATION_COLUMN_01_AIR_FLOW_mean,48.635517016639604
FLOTATION_COLUMN_04_AIR_FLOW_mean,44.03903050504547
ORE_PULP_PH_mean,35.620194804932694
ORE_PULP_DENSITY_mean,17.40540190510822
FLOTATION_COLUMN_05_LEVEL_mean,13.67699288881092
ORE_PULP_FLOW_mean,11.385251218671153
SILICA_FEED_PERC_mean,11.15460200908123
FLOTATION_COLUMN_03_LEVEL_mean,10.242071998462816
FLOTATION_COLUMN_03_AIR_FLOW_mean,9.352602278138272
FLOTATION_COLUMN_06_AIR_FLOW_mean,8.912330057674268
FLOTATION_COLUMN_07_LEVEL_mean,7.994295149873182
FLOTATION_COLUMN_07_AIR_FLOW_mean,7.186651803194093
FLOTATION_COLUMN_02_LEVEL_mean,5.806871033592112
FLOTATION_COLUMN_02_AIR_FLOW_mean,5.415749187751548
FLOTATION_COLUMN_04_LEVEL_mean,5.150608313715598
FLOTATION_COLUMN_05_AIR_FLOW_mean,4.84186467466907
STARCH_FLOW_mean,4.325943453826404
IRON_FEED_PERC_mean,4.024748591238163
FLOTATION_COLUMN_06_LEVEL_mean,3.767332313778224
FLOTATION_COLUMN_01_LEVEL_mean,3.4949302662176276
