FEATURES,IMPORTANCE
IRON_CONCENTRATE_PERC_mean,-0.6043105417759418
AMINA_FLOW_mean,0.28590160413950777
FLOTATION_COLUMN_05_LEVEL_mean,-0.26607060107372354
FLOTATION_COLUMN_04_LEVEL_mean,-0.2639715998126586
FLOTATION_COLUMN_01_AIR_FLOW_mean,-0.2444380664739298
FLOTATION_COLUMN_03_AIR_FLOW_mean,-0.23242322699636386
FLOTATION_COLUMN_07_LEVEL_mean,-0.22320871552026492
FLOTATION_COLUMN_06_LEVEL_mean,-0.19067588443719508
ORE_PULP_PH_mean,-0.18969392234413654
ORE_PULP_DENSITY_mean,0.14349418578509107
FLOTATION_COLUMN_02_AIR_FLOW_mean,-0.13792997513348842
ORE_PULP_FLOW_mean,-0.13033308817534342
STARCH_FLOW_mean,-0.0965474247597714
SILICA_FEED_PERC_mean,0.09008693124241898
IRON_FEED_PERC_mean,-0.0759153534383738
FLOTATION_COLUMN_07_AIR_FLOW_mean,-0.04373875158745588
FLOTATION_COLUMN_04_AIR_FLOW_mean,-0.04345727765896451
FLOTATION_COLUMN_01_LEVEL_mean,-0.036278204799593164
FLOTATION_COLUMN_03_LEVEL_mean,-0.03064742044676621
FLOTATION_COLUMN_06_AIR_FLOW_mean,-0.026549883099941222
FLOTATION_COLUMN_02_LEVEL_mean,-0.015237055867713425
FLOTATION_COLUMN_05_AIR_FLOW_mean,-0.014245148900409774
